Week,Date,Month,Solar_Elevation_deg,GHI_Wm2,DNI_Wm2,DHI_Wm2
1,2024-01-03,January,15.6,213,581,56
2,2024-01-10,January,16.5,229,599,58
3,2024-01-17,January,17.7,250,621,61
4,2024-01-24,January,19.2,277,642,66
5,2024-01-31,January,21.0,309,665,71
6,2024-02-07,February,23.0,346,688,76
7,2024-02-14,February,25.3,385,710,81
8,2024-02-21,February,27.8,421,706,92
9,2024-02-28,February,30.4,458,702,103
10,2024-03-06,March,33.1,494,698,114
11,2024-03-13,March,35.8,530,693,124
12,2024-03-20,March,38.6,572,710,129
13,2024-03-27,March,41.4,616,735,130
14,2024-04-03,April,42.2,629,746,128
15,2024-04-10,April,44.9,669,767,128
16,2024-04-17,April,47.4,705,784,127
17,2024-04-24,April,49.8,736,797,127
18,2024-05-01,May,52.0,764,809,126
19,2024-05-08,May,54.0,787,819,125
20,2024-05-15,May,55.7,807,828,123
21,2024-05-22,May,57.1,813,812,131
22,2024-05-29,May,58.2,814,794,139
23,2024-06-05,June,58.9,812,777,147
24,2024-06-12,June,59.4,807,759,154
25,2024-06-19,June,59.5,803,748,158
26,2024-06-26,June,59.3,797,740,161
27,2024-07-03,July,58.8,789,732,162
28,2024-07-10,July,58.0,778,724,164
29,2024-07-17,July,56.9,766,718,164
30,2024-07-24,July,55.6,757,724,160
31,2024-07-31,July,54.0,745,729,155
32,2024-08-07,August,52.3,730,734,149
33,2024-08-14,August,50.4,713,739,144
34,2024-08-21,August,48.3,690,735,141
35,2024-08-28,August,46.1,663,729,138
36,2024-09-04,September,43.7,633,721,134
37,2024-09-11,September,41.3,600,711,131
38,2024-09-18,September,38.8,566,702,126
39,2024-09-25,September,36.2,531,697,120
40,2024-10-02,October,33.6,495,689,113
41,2024-10-09,October,31.1,457,680,106
42,2024-10-16,October,28.5,419,668,99
43,2024-10-23,October,26.1,380,653,92
44,2024-10-30,October,24.4,353,645,87
45,2024-11-06,November,22.2,318,628,80
46,2024-11-13,November,20.2,286,611,74
47,2024-11-20,November,18.6,258,594,68
48,2024-11-27,November,17.2,235,580,63
49,2024-12-04,December,16.1,218,572,59
50,2024-12-11,December,15.4,208,570,56
51,2024-12-18,December,15.1,203,572,54
52,2024-12-25,December,15.1,204,571,54
